"game_id","home_team","away_team","game_date","kalshi_prob_home","kalshi_prob_away","home_score","away_score","home_win",".prob",".y",".prob_clipped","brier","logloss"
"1486b350f051e9869429f2985a7ef2d0","Oklahoma City Thunder","Los Angeles Lakers",2025-11-12,0.79,0.21,121,92,1,0.79,1,0.79,0.0441,0.23572233352107
"14a3b88a3d45b7afa6622d6f960e0b09","Cleveland Cavaliers","Miami Heat",2025-04-23,0.68,0.32,121,112,1,0.68,1,0.68,0.1024,0.385662480811985
"14cf463e0e627a3b36b65ec923f253ea","Indiana Pacers","New York Knicks",2025-05-31,0.65,0.35,125,108,1,0.65,1,0.65,0.1225,0.430782916092454
"15bca8e5b08f7b8602a8e3967667c740","New York Knicks","Detroit Pistons",2025-04-21,0.64,0.36,94,100,0,0.64,0,0.64,0.4096,1.02165124753198
"1689cf573c6a092366dd268fec29fa17","New York Knicks","Boston Celtics",2025-05-16,0.65,0.35,119,81,1,0.65,1,0.65,0.1225,0.430782916092454
"16b697ea8401211dcb40a35f12b52b21","Atlanta Hawks","Oklahoma City Thunder",2025-10-25,0.18,0.82,100,117,0,0.18,0,0.18,0.0324,0.198450938723838
"16cb0525e908d238a3407ade6a978c6b","New York Knicks","Boston Celtics",2025-05-12,0.24,0.76,121,113,1,0.24,1,0.24,0.5776,1.42711635564015
"1712f1f48109a3c9ef509a77914aaa06","Los Angeles Clippers","Atlanta Hawks",2025-11-10,0.74,0.26,102,105,0,0.74,0,0.74,0.5476,1.34707364796661
"17245e545f4c4aa961de57270f16b2c7","Portland Trail Blazers","Denver Nuggets",2025-10-31,0.28,0.72,109,107,1,0.28,1,0.28,0.5184,1.27296567581289
"17263f5888c9f26d291bc49258e68852","Memphis Grizzlies","Houston Rockets",2025-11-05,0.21,0.79,109,124,0,0.21,0,0.21,0.0441,0.23572233352107
"1814ec22a3248bb5467aa1a2bee18f98","Denver Nuggets","Los Angeles Clippers",2025-04-21,0.54,0.46,102,105,0,0.54,0,0.54,0.2916,0.776528789498996
"18a8312266521477423664257e995981","Portland Trail Blazers","Minnesota Timberwolves",2025-10-22,0.36,0.64,114,118,0,0.36,0,0.36,0.1296,0.446287102628419
"19aca5a6e1fa8b1aa68505d3f1d75b37","Los Angeles Clippers","Denver Nuggets",2025-04-24,0.565,0.435,117,83,1,0.565,1,0.565,0.189225,0.570929547835696
"1abf482ad374aafd4543807af43cb242","Oklahoma City Thunder","New Orleans Pelicans",2025-11-02,0.91,0.09,137,106,1,0.91,1,0.91,0.00809999999999999,0.0943106794712413
"1c9e418efd98eb8040dc783345e4bc24","Cleveland Cavaliers","Houston Rockets",2025-11-19,0.47,0.53,104,114,0,0.47,0,0.47,0.2209,0.63487827243597
"1e70cdfd00bfa5e08be3e030eebc8d39","Chicago Bulls","Atlanta Hawks",2025-10-27,0.35,0.65,128,123,1,0.35,1,0.35,0.4225,1.04982212449868
"1eb306bc928cde16b480fbf6493b53a6","Milwaukee Bucks","Sacramento Kings",2025-11-01,0.83,0.17,133,135,0,0.83,0,0.83,0.6889,1.77195684193187
"1f76df620a1e6d0d2a788a9defbc3b71","Charlotte Hornets","Minnesota Timberwolves",2025-11-01,0.37,0.63,105,122,0,0.37,0,0.37,0.1369,0.462035459596559
"2066c605a729491bce972c57e275108e","Oklahoma City Thunder","Minnesota Timberwolves",2025-05-22,0.74,0.26,118,103,1,0.74,1,0.74,0.0676,0.301105092783922
"20752d4ddb00e71eb57379806aa7693f","Golden State Warriors","Minnesota Timberwolves",2025-05-12,0.35,0.65,110,117,0,0.35,0,0.35,0.1225,0.430782916092454
"20868fae97d3419b114035f8e41f3b9a","Oklahoma City Thunder","Minnesota Timberwolves",2025-05-28,0.84,0.16,124,94,1,0.84,1,0.84,0.0256,0.174353387144778
"2115811d6d5915d1d9ab317396776cf7","Orlando Magic","Atlanta Hawks",2025-10-24,0.68,0.32,107,111,0,0.68,0,0.68,0.4624,1.13943428318837
"2166a42183ae3ca4c38f7ff9d12e4e9d","Milwaukee Bucks","Golden State Warriors",2025-10-30,0.25,0.75,120,110,1,0.25,1,0.25,0.5625,1.38629436111989
